Month,Consumo de Energía ≤ 3000 kWh,Bloque mayor a 3000 kWh,Potencia kW
Jul-16,123.18,73.71,12184.85
Aug-16,123.18,73.71,12184.85
Sep-16,123.18,73.71,12184.85
Oct-16,119.25,71.36,11796.23
Nov-16,119.25,71.36,11796.23
Dec-16,119.25,71.36,11796.23
Jan-17,107.62,64.39,10644.3
Feb-17,107.62,64.39,10644.3
Mar-17,107.62,64.39,10644.3
Apr-17,110.3833333,66.05333333,10917.92833
May-17,108.94,65.19,10775.1
Jun-17,108.94,65.19,10775.1
Jul-17,116.99,70,11571.26
Aug-17,116.99,70,11571.26
Sep-17,116.99,70,11571.26
Oct-17,117.33,70.21,11604.99
Nov-17,117.33,70.21,11604.99
Dec-17,117.33,70.21,11604.99
Jan-18,115.63,69.18,11437.33
Feb-18,115.63,69.18,11437.33
Mar-18,115.63,69.18,11437.33
Apr-18,116.77,69.86,11549.6
May-18,116.77,69.86,11549.6
Jun-18,116.77,69.86,11549.6
Jul-18,116.17,69.5,11490.23
Aug-18,116.17,69.5,11490.23
Sep-18,116.17,69.5,11490.23
Oct-18,114.67,68.6,11341.83
Nov-18,114.67,68.6,11341.83
Dec-18,114.67,68.6,11341.83
Jan-19,120.1,71.86,11878.17
Feb-19,120.1,71.86,11878.17
Mar-19,120.1,71.86,11878.17