month,TA
Apr-16,28.3
May-16,28.3
Jun-16,28.3
Jul-16,28.3
Aug-16,28.3
Sep-16,28.3
Oct-16,28.3
Nov-16,28.3
Dec-16,28.3
Jan-17,26.77
Feb-17,26.77
Mar-17,26.77
Apr-17,26.77
May-17,26.77
Jun-17,26.77
Jul-17,26.77
Aug-17,26.77
Sep-17,26.77
Oct-17,26.77
Nov-17,26.77
Dec-17,26.77
Jan-18,27.86
Feb-18,27.86
Mar-18,27.86
Apr-18,27.86
May-18,27.86
Jun-18,27.86
Jul-18,27.86
Aug-18,27.86
Sep-18,27.86
Oct-18,27.86
Nov-18,27.86
Dec-18,27.86
Jan-19,27.86
Feb-19,27.86
Mar-19,27.86