Month,Bloque 0-40 kWh,Bloque 41-200 kWh,Bloque mayor 200 kWh
Apr-16,2325.9,77.53,139.76
May-16,2325.9,77.53,139.76
Jun-16,2325.9,77.53,139.76
Jul-16,2453.4,81.78,147.42
Aug-16,2453.4,81.78,147.42
Sep-16,2453.4,81.78,147.42
Oct-16,2375.4,79.18,142.71
Nov-16,2375.4,79.18,142.71
Dec-16,2375.4,79.18,142.71
Jan-17,2858,71.45,128.79
Feb-17,2858,71.45,128.79
Mar-17,2858,71.45,128.79
Apr-17,2931.533333,73.28833333,132.0983333
May-17,2893.2,72.33,130.37
Jun-17,2893.2,72.33,130.37
Jul-17,3106.8,77.67,140
Aug-17,3106.8,77.67,140
Sep-17,3106.8,77.67,140
Oct-17,3116,77.9,140.4
Nov-17,3116,77.9,140.4
Dec-17,3116,77.9,140.4
Jan-18,3071.6,76.79,138.38
Feb-18,3071.6,76.79,138.38
Mar-18,3071.6,76.79,138.38
Apr-18,3101.6,77.54,139.74
May-18,3101.6,77.54,139.74
Jun-18,3101.6,77.54,139.74
Jul-18,3085.6,77.14,139.02
Aug-18,3085.6,77.14,139.02
Sep-18,3085.6,77.14,139.02
Oct-18,3045.6,76.14,137.22
Nov-18,3045.6,76.14,137.22
Dec-18,3045.6,76.14,137.22
Jan-19,3189.6,79.74,143.71
Feb-19,3189.6,79.74,143.71
Mar-19,3189.6,79.74,143.71